id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,loudness_norm
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.04,0.72
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,0.35
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.30,0.88
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.90,0.28
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.02,0.91
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.95,0.20
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.40,0.38
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.55,0.68
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.88,0.30
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.06,0.62
11,Velvet Groove,SoulCraft,r&b,romantic,0.58,96,0.78,0.74,0.52,0.08,0.55
12,Block Party,DJ Kova,hip-hop,energetic,0.87,140,0.72,0.91,0.07,0.05,0.85
13,Neon Pulse,Synthetica,electronic,energetic,0.89,128,0.68,0.93,0.03,0.72,0.90
14,Autumn Letters,Maren Cole,folk,sad,0.31,84,0.35,0.42,0.94,0.15,0.25
15,Cathedral Echo,Lumen String,classical,relaxed,0.25,66,0.55,0.30,0.97,0.98,0.32
16,Dust Road Radio,Hank Wilder,country,happy,0.64,112,0.80,0.70,0.78,0.10,0.58
17,Iron Tide,Shredlock,metal,intense,0.96,168,0.32,0.52,0.04,0.20,0.95
18,Cumbia del Sol,Luna Roja,latin,happy,0.74,104,0.88,0.90,0.45,0.03,0.65
19,Rainy Window,Ghost Palette,indie pop,sad,0.33,76,0.38,0.45,0.68,0.60,0.30
20,Deep Focus Engine,LoRoom,electronic,focused,0.45,100,0.50,0.55,0.12,0.92,0.42
